Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2009,2009,tonnes,2500,E,Estimated value
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2010,2010,tonnes,3321,A,Official figure
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2011,2011,tonnes,3139,A,Official figure
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2012,2012,tonnes,3310,A,Official figure
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2013,2013,tonnes,2124,A,Official figure
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2014,2014,tonnes,3939,A,Official figure
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2015,2015,tonnes,3479,I,Imputed value
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2016,2016,tonnes,3289,I,Imputed value
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2017,2017,tonnes,3332,I,Imputed value
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2018,2018,tonnes,6640,A,Official figure
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2019,2019,tonnes,8920,A,Official figure
QCL,Crops and livestock products,11,Austria,5510,Production,777,True hemp raw or retted,2020,2020,tonnes,8670,A,Official figure
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,1994,1994,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,1995,1995,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,1996,1996,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,1997,1997,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,1998,1998,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,1999,1999,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2000,2000,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2001,2001,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2002,2002,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2003,2003,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2004,2004,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2005,2005,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2006,2006,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2007,2007,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2008,2008,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2009,2009,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2010,2010,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2011,2011,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2012,2012,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2013,2013,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2014,2014,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2015,2015,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2016,2016,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2017,2017,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2018,2018,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2019,2019,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,777,True hemp raw or retted,2020,2020,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,1994,1994,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,1995,1995,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,1996,1996,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,1997,1997,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,1998,1998,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,1999,1999,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2000,2000,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2001,2001,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2002,2002,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2003,2003,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2004,2004,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2005,2005,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2006,2006,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2007,2007,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2008,2008,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2009,2009,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2010,2010,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2011,2011,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2012,2012,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2013,2013,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2014,2014,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2015,2015,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2016,2016,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2017,2017,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2018,2018,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2019,2019,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,16,Bangladesh,5510,Production,777,True hemp raw or retted,2020,2020,tonnes,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,255,Belgium,5312,Area harvested,777,True hemp raw or retted,2018,2018,ha,140,A,Official figure
QCL,Crops and livestock products,255,Belgium,5312,Area harvested,777,True hemp raw or retted,2019,2019,ha,100,A,Official figure
QCL,Crops and livestock products,255,Belgium,5312,Area harvested,777,True hemp raw or retted,2020,2020,ha,110,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1961,1961,ha,11971,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1962,1962,ha,10965,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1963,1963,ha,10459,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1964,1964,ha,10180,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1965,1965,ha,11412,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1966,1966,ha,15108,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1967,1967,ha,13698,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1968,1968,ha,11459,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1969,1969,ha,11677,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1970,1970,ha,10039,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1971,1971,ha,9397,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1972,1972,ha,8870,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1973,1973,ha,7291,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1974,1974,ha,9064,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1975,1975,ha,5557,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1976,1976,ha,7249,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1977,1977,ha,5002,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1978,1978,ha,5298,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1979,1979,ha,5742,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1980,1980,ha,3908,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1981,1981,ha,5481,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1982,1982,ha,5059,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1983,1983,ha,5361,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1984,1984,ha,5703,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1985,1985,ha,5349,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1986,1986,ha,4582,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1987,1987,ha,2767,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1988,1988,ha,1337,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1989,1989,ha,664,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1990,1990,ha,517,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1991,1991,ha,618,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1992,1992,ha,0,T,Unofficial figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1993,1993,ha,50,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1994,1994,ha,0,T,Unofficial figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1995,1995,ha,20,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1996,1996,ha,0,T,Unofficial figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1997,1997,ha,48,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1998,1998,ha,8,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,1999,1999,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2000,2000,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2001,2001,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2002,2002,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2003,2003,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2004,2004,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2005,2005,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2006,2006,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2007,2007,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2008,2008,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2009,2009,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2010,2010,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2011,2011,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2012,2012,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2013,2013,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2014,2014,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2015,2015,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2016,2016,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2017,2017,ha,,M,Missing value (data cannot exist not applicable)
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2018,2018,ha,0,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2019,2019,ha,1010,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5312,Area harvested,777,True hemp raw or retted,2020,2020,ha,610,A,Official figure
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1961,1961,hg/ha,9022,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1962,1962,hg/ha,5435,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1963,1963,hg/ha,6008,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1964,1964,hg/ha,8042,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1965,1965,hg/ha,6459,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1966,1966,hg/ha,8098,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1967,1967,hg/ha,9239,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1968,1968,hg/ha,5993,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1969,1969,hg/ha,8137,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5419,Yield,777,True hemp raw or retted,1970,1970,hg/ha,8831,E,Estimated value
